iter	Passed	Remaining
0	0	0
1	10	2014
2	12	1275
3	12	1275
4	13	883
5	20	1004
6	20	1004
7	28	1077
8	28	921
9	31	846
10	33	801
11	39	825
12	49	931
13	51	867
14	54	839
15	59	836
16	59	836
17	63	825
18	79	963
19	84	954
20	84	954
21	84	954
22	91	957
23	91	957
24	99	963
25	99	913
26	104	900
27	104	856
28	109	854
29	111	827
30	117	826
31	125	840
32	126	814
33	130	805
34	133	787
35	139	791
36	140	764
37	143	750
38	149	750
39	151	733
40	152	714
41	152	714
42	155	699
43	157	683
44	163	684
45	166	675
46	168	660
47	171	651
48	174	642
49	175	625
50	178	617
51	185	623
52	188	615
53	188	615
54	191	603
55	192	590
56	196	584
57	196	570
58	200	564
59	207	568
60	208	556
61	211	550
62	217	550
63	226	559
64	226	559
65	229	548
66	236	552
67	237	540
68	241	537
69	245	531
70	248	525
71	253	523
72	254	512
73	257	507
74	259	499
75	266	501
76	266	501
77	274	499
78	274	499
79	277	489
80	283	489
81	285	481
82	287	474
83	290	468
84	296	467
85	301	463
86	301	463
87	301	450
88	301	450
89	306	443
90	307	435
91	315	436
92	317	429
93	318	422
94	324	420
95	326	414
96	330	409
97	332	403
98	335	398
99	345	401
100	348	396
101	354	395
102	354	395
103	358	386
104	363	383
105	364	376
106	367	371
107	369	365
108	373	361
109	376	356
110	382	354
111	383	347
112	387	343
113	388	337
114	394	335
115	395	328
116	400	325
117	401	319
118	404	315
119	404	315
120	404	315
121	409	303
122	411	299
123	416	295
124	420	292
125	424	287
126	427	283
127	432	280
128	433	274
129	437	271
130	437	271
131	440	262
132	456	265
133	460	262
134	462	257
135	466	252
136	471	249
137	471	249
138	475	241
139	477	236
140	480	232
141	483	228
142	483	228
143	488	220
144	490	215
145	490	215
146	492	207
147	495	202
148	501	199
149	501	194
150	505	190
151	505	190
152	509	182
153	518	180
154	526	178
155	532	174
156	532	174
157	532	174
158	533	162
159	536	157
160	539	153
161	541	149
162	546	145
163	547	140
164	550	136
165	555	132
166	557	128
167	561	124
168	565	120
169	566	116
170	571	112
171	571	112
172	581	106
173	591	103
174	596	99
175	598	95
176	599	90
177	604	86
178	606	82
179	610	78
180	615	74
181	615	74
182	615	74
183	623	63
184	628	59
185	629	55
186	631	51
187	640	47
188	644	43
189	649	39
190	653	35
191	654	31
192	657	27
193	660	23
194	666	19
195	667	15
196	667	15
197	670	7
198	675	3
199	678	0
